1K	1R	st'	2K	2A	2W	2R	2H	2M	2B	2G	st''	->	opt_action
0		1		-		0		0		0		0		10	0		5		0		-		->		p1_R_H
0		1		-		0		0		0		0		10	0		6		0		-		->		p1_R_H
0		1		-		0		0		0		0		10	0		7		0		-		->		p1_R_H
0		1		-		0		0		0		0		10	0		8		0		-		->		p1_R_H
0		1		-		0		0		0		0		10	0		9		0		-		->		p1_R_H
0		1		-		0		0		0		0		10	0		10	0		-		->		p1_R_H
0		1		-		0		0		0		0		10	1		0		0		-		->		p1_R_H
0		1		-		0		0		0		0		10	2		0		0		-		->		p1_R_H
0		1		-		0		0		0		0		10	3		0		0		-		->		p1_R_H
0		1		-		0		0		0		0		10	4		0		0		-		->		p1_R_H
0		1		-		0		0		0		0		10	5		0		0		-		->		p1_R_H
0		1		-		0		0		0		0		10	6		0		0		-		->		p1_R_H
0		1		-		0		0		0		0		10	7		0		0		-		->		p1_R_H
0		1		-		0		0		0		1		0		0		0		0		-		->		p1_R_Re
0		1		-		0		0		0		1		0		0		0		1		-		->		p1_R_Ge
0		1		-		0		0		0		1		0		0		0		4		-		->		p1_R_Ge
0		1		-		0		0		0		1		0		0		0		5		-		->		p1_R_Ge
0		1		-		0		0		0		1		0		0		0		8		-		->		p1_R_Ke
0		1		-		0		0		0		1		0		3		0		0		-		->		p1_R_Me
0		1		-		0		0		0		1		0		4		0		0		-		->		p1_R_Me
0		1		-		0		0		0		1		0		7		0		0		-		->		p1_R_M
0		1		-		0		0		0		1		1		0		0		0		-		->		p1_R_He
0		1		-		0		0		0		1		2		0		0		0		-		->		p1_R_He
0		1		-		0		0		0		1		3		0		0		0		-		->		p1_R_He
0		1		-		0		0		0		1		4		0		0		0		-		->		p1_R_He
0		1		-		0		0		0		1		5		0		0		0		-		->		p1_R_He
0		1		-		0		0		0		1		6		0		0		0		-		->		p1_R_H
0		1		-		0		0		0		1		7		0		0		0		-		->		p1_R_H
0		1		-		0		0		0		1		8		0		0		0		-		->		p1_R_H
0		1		-		0		0		0		1		9		0		0		0		-		->		p1_R_H
0		1		-		0		0		0		1		10	0		0		0		-		->		p1_R_H
0		1		-		0		0		0		2		0		0		0		0		-		->		p1_R_Re
0		1		-		0		0		0		2		1		0		0		0		-		->		p1_R_He
0		1		-		0		0		0		2		2		0		0		0		-		->		p1_R_He
0		1		-		0		0		0		2		3		0		0		0		-		->		p1_R_He
0		1		-		0		0		0		2		4		0		0		0		-		->		p1_R_He
0		1		-		0		0		0		2		5		0		0		0		-		->		p1_R_He
0		1		-		0		0		0		2		6		0		0		0		-		->		p1_R_H
0		1		-		0		0		0		2		7		0		0		0		-		->		p1_R_H
0		1		-		0		0		0		2		8		0		0		0		-		->		p1_R_H
0		1		-		0		0		0		2		9		0		0		0		-		->		p1_R_H
0		1		-		0		0		0		2		10	0		0		0		-		->		p1_R_H
0		1		-		0		0		0		3		0		0		0		0		-		->		p1_R_Re
0		1		-		0		0		0		3		1		0		0		0		-		->		p1_R_He
0		1		-		0		0		0		3		2		0		0		0		-		->		p1_R_He
0		1		-		0		0		0		3		3		0		0		0		-		->		p1_R_He
0		1		-		0		0		0		3		4		0		0		0		-		->		p1_R_He
0		1		-		0		0		0		3		5		0		0		0		-		->		p1_R_He
0		1		-		0		0		0		3		6		0		0		0		-		->		p1_R_H
0		1		-		0		0		0		3		7		0		0		0		-		->		p1_R_H
0		1		-		0		0		0		3		8		0		0		0		-		->		p1_R_H
0		1		-		0		0		0		3		9		0		0		0		-		->		p1_R_H
0		1		-		0		0		0		3		10	0		0		0		-		->		p1_R_H
0		1		-		0		0		0		4		0		0		0		0		-		->		p1_R_Re
0		1		-		0		0		0		4		0		0		0		1		-		->		p1_R_Ge
0		1		-		0		0		0		4		0		0		0		4		-		->		p1_R_Ge
0		1		-		0		0		0		4		0		0		0		5		-		->		p1_R_Ge
0		1		-		0		0		0		4		0		0		0		8		-		->		p1_R_Ke
0		1		-		0		0		0		4		0		3		0		0		-		->		p1_R_Me
0		1		-		0		0		0		4		0		4		0		0		-		->		p1_R_Me
0		1		-		0		0		0		4		0		7		0		0		-		->		p1_R_M
0		1		-		0		0		0		4		1		0		0		0		-		->		p1_R_He
0		1		-		0		0		0		4		2		0		0		0		-		->		p1_R_He
0		1		-		0		0		0		4		3		0		0		0		-		->		p1_R_He
0		1		-		0		0		0		4		4		0		0		0		-		->		p1_R_He
0		1		-		0		0		0		4		5		0		0		0		-		->		p1_R_He
0		1		-		0		0		0		4		6		0		0		0		-		->		p1_R_H
0		1		-		0		0		0		4		7		0		0		0		-		->		p1_R_H
0		1		-		0		0		0		4		8		0		0		0		-		->		p1_R_H
0		1		-		0		0		0		4		9		0		0		0		-		->		p1_R_H
0		1		-		0		0		0		4		10	0		0		0		-		->		p1_R_H
0		1		-		0		0		0		5		0		0		0		0		-		->		p1_R_Re
0		1		-		0		0		0		5		0		0		0		1		-		->		p1_R_Ge
0		1		-		0		0		0		5		0		0		0		4		-		->		p1_R_Ge
0		1		-		0		0		0		5		0		0		0		5		-		->		p1_R_Ge
0		1		-		0		0		0		5		0		0		0		8		-		->		p1_R_Ke
0		1		-		0		0		0		5		0		3		0		0		-		->		p1_R_Me
0		1		-		0		0		0		5		0		4		0		0		-		->		p1_R_Me
0		1		-		0		0		0		5		0		7		0		0		-		->		p1_R_M
0		1		-		0		0		0		5		1		0		0		0		-		->		p1_R_He
