1R	1B	st'	2K	2A	2W	2R	2H	2M	2B	2G	st''	->	opt_action
0		1		-		0		0		0		0		3		0		0		8		-		->		p1_B_Hr
0		1		-		0		0		0		0		3		0		1		0		-		->		p1_B_Hr
0		1		-		0		0		0		0		3		0		2		0		-		->		p1_B_Hr
0		1		-		0		0		0		0		3		0		3		0		-		->		p1_B_Hr
0		1		-		0		0		0		0		3		0		4		0		-		->		p1_B_Hr
0		1		-		0		0		0		0		3		0		5		0		-		->		p1_B_Hr
0		1		-		0		0		0		0		3		0		6		0		-		->		p1_B_Hr
0		1		-		0		0		0		0		3		0		7		0		-		->		p1_B_Hr
0		1		-		0		0		0		0		3		0		8		0		-		->		p1_B_Hr
0		1		-		0		0		0		0		3		0		9		0		-		->		p1_B_Hr
0		1		-		0		0		0		0		3		0		10	0		-		->		p1_B_Hr
0		1		-		0		0		0		0		3		1		0		0		-		->		p1_B_Hr
0		1		-		0		0		0		0		3		2		0		0		-		->		p1_B_Hr
0		1		-		0		0		0		0		3		3		0		0		-		->		p1_B_Hr
0		1		-		0		0		0		0		3		4		0		0		-		->		p1_B_Hr
0		1		-		0		0		0		0		3		5		0		0		-		->		p1_B_Hr
0		1		-		0		0		0		0		3		6		0		0		-		->		p1_B_Hr
0		1		-		0		0		0		0		3		7		0		0		-		->		p1_B_Hr
0		1		-		0		0		0		0		4		0		0		0		-		->		p1_B_Hr
0		1		-		0		0		0		0		4		0		0		1		-		->		p1_B_Gr
0		1		-		0		0		0		0		4		0		0		2		-		->		p1_B_Gr
0		1		-		0		0		0		0		4		0		0		3		-		->		p1_B_Gr
0		1		-		0		0		0		0		4		0		0		4		-		->		p1_B_Gr
0		1		-		0		0		0		0		4		0		0		5		-		->		p1_B_Gr
0		1		-		0		0		0		0		4		0		0		6		-		->		p1_B_Hr
0		1		-		0		0		0		0		4		0		0		7		-		->		p1_B_Hr
0		1		-		0		0		0		0		4		0		0		8		-		->		p1_B_Hr
0		1		-		0		0		0		0		4		0		1		0		-		->		p1_B_Hr
0		1		-		0		0		0		0		4		0		2		0		-		->		p1_B_Hr
0		1		-		0		0		0		0		4		0		3		0		-		->		p1_B_Hr
0		1		-		0		0		0		0		4		0		4		0		-		->		p1_B_Hr
0		1		-		0		0		0		0		4		0		5		0		-		->		p1_B_Hr
0		1		-		0		0		0		0		4		0		6		0		-		->		p1_B_Hr
0		1		-		0		0		0		0		4		0		7		0		-		->		p1_B_Hr
0		1		-		0		0		0		0		4		0		8		0		-		->		p1_B_Hr
0		1		-		0		0		0		0		4		0		9		0		-		->		p1_B_Hr
0		1		-		0		0		0		0		4		0		10	0		-		->		p1_B_Hr
0		1		-		0		0		0		0		4		1		0		0		-		->		p1_B_Hr
0		1		-		0		0		0		0		4		2		0		0		-		->		p1_B_Hr
0		1		-		0		0		0		0		4		3		0		0		-		->		p1_B_Hr
0		1		-		0		0		0		0		4		4		0		0		-		->		p1_B_Hr
0		1		-		0		0		0		0		4		5		0		0		-		->		p1_B_Hr
0		1		-		0		0		0		0		4		6		0		0		-		->		p1_B_Hr
0		1		-		0		0		0		0		4		7		0		0		-		->		p1_B_Hr
0		1		-		0		0		0		0		5		0		0		0		-		->		p1_B_Hr
0		1		-		0		0		0		0		5		0		0		1		-		->		p1_B_Gr
0		1		-		0		0		0		0		5		0		0		2		-		->		p1_B_Gr
0		1		-		0		0		0		0		5		0		0		3		-		->		p1_B_Gr
0		1		-		0		0		0		0		5		0		0		4		-		->		p1_B_Gr
0		1		-		0		0		0		0		5		0		0		5		-		->		p1_B_Gr
0		1		-		0		0		0		0		5		0		0		6		-		->		p1_B_Hr
0		1		-		0		0		0		0		5		0		0		7		-		->		p1_B_Hr
0		1		-		0		0		0		0		5		0		0		8		-		->		p1_B_Hr
0		1		-		0		0		0		0		5		0		1		0		-		->		p1_B_Hr
0		1		-		0		0		0		0		5		0		2		0		-		->		p1_B_Hr
0		1		-		0		0		0		0		5		0		3		0		-		->		p1_B_Hr
0		1		-		0		0		0		0		5		0		4		0		-		->		p1_B_Hr
0		1		-		0		0		0		0		5		0		5		0		-		->		p1_B_Hr
0		1		-		0		0		0		0		5		0		6		0		-		->		p1_B_Hr
0		1		-		0		0		0		0		5		0		7		0		-		->		p1_B_Hr
0		1		-		0		0		0		0		5		0		8		0		-		->		p1_B_Hr
0		1		-		0		0		0		0		5		0		9		0		-		->		p1_B_Hr
0		1		-		0		0		0		0		5		0		10	0		-		->		p1_B_Hr
0		1		-		0		0		0		0		5		1		0		0		-		->		p1_B_Hr
0		1		-		0		0		0		0		5		2		0		0		-		->		p1_B_Hr
0		1		-		0		0		0		0		5		3		0		0		-		->		p1_B_Hr
0		1		-		0		0		0		0		5		4		0		0		-		->		p1_B_Hr
0		1		-		0		0		0		0		5		5		0		0		-		->		p1_B_Hr
0		1		-		0		0		0		0		5		6		0		0		-		->		p1_B_Hr
0		1		-		0		0		0		0		5		7		0		0		-		->		p1_B_Hr
0		1		-		0		0		0		0		6		0		0		0		-		->		p1_B_Hr
0		1		-		0		0		0		0		6		0		0		1		-		->		p1_B_Gr
0		1		-		0		0		0		0		6		0		0		2		-		->		p1_B_Gr
0		1		-		0		0		0		0		6		0		0		3		-		->		p1_B_Gr
0		1		-		0		0		0		0		6		0		0		4		-		->		p1_B_Gr
0		1		-		0		0		0		0		6		0		0		5		-		->		p1_B_Gr
0		1		-		0		0		0		0		6		0		0		6		-		->		p1_B_Hr
0		1		-		0		0		0		0		6		0		0		7		-		->		p1_B_Hr
0		1		-		0		0		0		0		6		0		0		8		-		->		p1_B_Hr
0		1		-		0		0		0		0		6		0		1		0		-		->		p1_B_Hr
0		1		-		0		0		0		0		6		0		2		0		-		->		p1_B_Hr
0		1		-		0		0		0		0		6		0		3		0		-		->		p1_B_Hr
0		1		-		0		0		0		0		6		0		4		0		-		->		p1_B_Hr
0		1		-		0		0		0		0		6		0		5		0		-		->		p1_B_Hr
0		1		-		0		0		0		0		6		0		6		0		-		->		p1_B_Hr
0		1		-		0		0		0		0		6		0		7		0		-		->		p1_B_Hr
0		1		-		0		0		0		0		6		0		8		0		-		->		p1_B_Hr
0		1		-		0		0		0		0		6		0		9		0		-		->		p1_B_Hr
0		1		-		0		0		0		0		6		0		10	0		-		->		p1_B_Hr
0		1		-		0		0		0		0		6		1		0		0		-		->		p1_B_Hr
0		1		-		0		0		0		0		6		2		0		0		-		->		p1_B_Hr
0		1		-		0		0		0		0		6		3		0		0		-		->		p1_B_Hr
0		1		-		0		0		0		0		6		4		0		0		-		->		p1_B_Hr
0		1		-		0		0		0		0		6		5		0		0		-		->		p1_B_Hr
0		1		-		0		0		0		0		6		6		0		0		-		->		p1_B_Hr
0		1		-		0		0		0		0		6		7		0		0		-		->		p1_B_Hr
0		1		-		0		0		0		0		7		0		0		0		-		->		p1_B_Hr
0		1		-		0		0		0		0		7		0		0		1		-		->		p1_B_Gr
0		1		-		0		0		0		0		7		0		0		2		-		->		p1_B_Gr
0		1		-		0		0		0		0		7		0		0		3		-		->		p1_B_Gr
0		1		-		0		0		0		0		7		0		0		4		-		->		p1_B_Gr
0		1		-		0		0		0		0		7		0		0		5		-		->		p1_B_Gr
0		1		-		0		0		0		0		7		0		0		6		-		->		p1_B_Hr
0		1		-		0		0		0		0		7		0		0		7		-		->		p1_B_Hr
0		1		-		0		0		0		0		7		0		0		8		-		->		p1_B_Hr
0		1		-		0		0		0		0		7		0		1		0		-		->		p1_B_Hr
0		1		-		0		0		0		0		7		0		2		0		-		->		p1_B_Hr
0		1		-		0		0		0		0		7		0		3		0		-		->		p1_B_Hr
0		1		-		0		0		0		0		7		0		4		0		-		->		p1_B_Hr
0		1		-		0		0		0		0		7		0		5		0		-		->		p1_B_Hr
0		1		-		0		0		0		0		7		0		6		0		-		->		p1_B_Hr
0		1		-		0		0		0		0		7		0		7		0		-		->		p1_B_Hr
0		1		-		0		0		0		0		7		0		8		0		-		->		p1_B_Hr
0		1		-		0		0		0		0		7		0		9		0		-		->		p1_B_Hr
0		1		-		0		0		0		0		7		0		10	0		-		->		p1_B_Hr
0		1		-		0		0		0		0		7		1		0		0		-		->		p1_B_Hr
0		1		-		0		0		0		0		7		2		0		0		-		->		p1_B_Hr
0		1		-		0		0		0		0		7		3		0		0		-		->		p1_B_Hr
0		1		-		0		0		0		0		7		4		0		0		-		->		p1_B_Hr
0		1		-		0		0		0		0		7		5		0		0		-		->		p1_B_Hr
0		1		-		0		0		0		0		7		6		0		0		-		->		p1_B_Hr
0		1		-		0		0		0		0		7		7		0		0		-		->		p1_B_Hr
0		1		-		0		0		0		0		8		0		0		0		-		->		p1_B_Hr
0		1		-		0		0		0		0		8		0		0		1		-		->		p1_B_Gr
0		1		-		0		0		0		0		8		0		0		2		-		->		p1_B_Gr
0		1		-		0		0		0		0		8		0		0		3		-		->		p1_B_Gr
0		1		-		0		0		0		0		8		0		0		4		-		->		p1_B_Gr
0		1		-		0		0		0		0		8		0		0		5		-		->		p1_B_Gr
0		1		-		0		0		0		0		8		0		0		6		-		->		p1_B_Hr
0		1		-		0		0		0		0		8		0		0		7		-		->		p1_B_Hr
0		1		-		0		0		0		0		8		0		0		8		-		->		p1_B_Hr
0		1		-		0		0		0		0		8		0		1		0		-		->		p1_B_Hr
0		1		-		0		0		0		0		8		0		2		0		-		->		p1_B_Hr
0		1		-		0		0		0		0		8		0		3		0		-		->		p1_B_Hr
0		1		-		0		0		0		0		8		0		4		0		-		->		p1_B_Hr
