([60, 30, 0.2, 1],)::	KendalltauResult(correlation=0.26616814431776514, pvalue=0.07349919318353215)
([70, 30, 0.2, 1],)::	KendalltauResult(correlation=0.22016377369494156, pvalue=0.1387707030456081)
([80, 30, 0.2, 1],)::	KendalltauResult(correlation=0.26616814431776514, pvalue=0.07349919318353215)
([90, 30, 0.2, 1],)::	KendalltauResult(correlation=0.2990284090483535, pvalue=0.04436018881569331)
([100, 30, 0.2, 1],)::	KendalltauResult(correlation=0.2793122502100005, pvalue=0.06036754739976839)
([90, 30, 0.2, 1],)::	KendalltauResult(correlation=0.2990284090483535, pvalue=0.04436018881569331)
([90, 30, 0.2, 1],)::	KendalltauResult(correlation=0.2547081523917496, pvalue=0.07063557310122692)
([90, 30, 0.2, 1],)::	KendalltauResult(correlation=-0.06862635163075162, pvalue=0.6530479429295405)
([10, 30, 0.2, 1],)::	KendalltauResult(correlation=-0.030541025660644008, pvalue=0.8416197970043612)
([20, 30, 0.2, 1],)::	KendalltauResult(correlation=-0.09544070518951252, pvalue=0.5323362064121293)
([30, 30, 0.2, 1],)::	KendalltauResult(correlation=-0.13725270326150324, pvalue=0.36861859214901105)
([40, 30, 0.2, 1],)::	KendalltauResult(correlation=-0.183003604348671, pvalue=0.23062441137530432)
([50, 30, 0.2, 1],)::	KendalltauResult(correlation=-0.16775330398628174, pvalue=0.2718309014174304)
([60, 30, 0.2, 1],)::	KendalltauResult(correlation=-0.122002402899114, pvalue=0.4241930237416912)
([70, 30, 0.2, 1],)::	KendalltauResult(correlation=-0.12962755308030863, pvalue=0.39581676796201615)
([80, 30, 0.2, 1],)::	KendalltauResult(correlation=-0.0915018021743355, pvalue=0.5489221943911028)
([90, 30, 0.2, 1],)::	KendalltauResult(correlation=-0.06862635163075162, pvalue=0.6530479429295405)
([100, 30, 0.2, 1],)::	KendalltauResult(correlation=-0.053376051268362375, pvalue=0.7266119010200199)
([40, 30, 0.025, 1],)::	KendalltauResult(correlation=-0.16775330398628174, pvalue=0.2718309014174304)
([40, 30, 0.05, 1],)::	KendalltauResult(correlation=-0.16775330398628174, pvalue=0.2718309014174304)
([40, 30, 0.07500000000000001, 1],)::	KendalltauResult(correlation=-0.16775330398628174, pvalue=0.2718309014174304)
([40, 30, 0.1, 1],)::	KendalltauResult(correlation=-0.16775330398628174, pvalue=0.2718309014174304)
([40, 30, 0.125, 1],)::	KendalltauResult(correlation=-0.16775330398628174, pvalue=0.2718309014174304)
([40, 30, 0.15, 1],)::	KendalltauResult(correlation=-0.16775330398628174, pvalue=0.2718309014174304)
([40, 30, 0.17500000000000002, 1],)::	KendalltauResult(correlation=-0.16775330398628174, pvalue=0.2718309014174304)
([40, 30, 0.2, 1],)::	KendalltauResult(correlation=-0.16775330398628174, pvalue=0.2718309014174304)
([40, 30, 0.225, 1],)::	KendalltauResult(correlation=-0.16775330398628174, pvalue=0.2718309014174304)
([40, 30, 0.25, 1],)::	KendalltauResult(correlation=-0.16775330398628174, pvalue=0.2718309014174304)
([40, 30, 0.275, 1],)::	KendalltauResult(correlation=-0.16775330398628174, pvalue=0.2718309014174304)
([40, 30, 0.30000000000000004, 1],)::	KendalltauResult(correlation=-0.16775330398628174, pvalue=0.2718309014174304)
([40, 30, 0.32500000000000007, 1],)::	KendalltauResult(correlation=-0.16775330398628174, pvalue=0.2718309014174304)
([40, 30, 0.5, 1],)::	KendalltauResult(correlation=-0.06862635163075162, pvalue=0.6530479429295405)
([40, 30, 0.6, 1],)::	KendalltauResult(correlation=-0.06862635163075162, pvalue=0.6530479429295405)
([40, 30, 0.7, 1],)::	KendalltauResult(correlation=-0.06862635163075162, pvalue=0.6530479429295405)
([40, 30, 0.3, 1],)::	KendalltauResult(correlation=-0.13725270326150324, pvalue=0.36861859214901105)
([40, 30, 0.8, 1],)::	KendalltauResult(correlation=-0.13725270326150324, pvalue=0.36861859214901105)
([40, 30, 0.3, 1],)::	KendalltauResult(correlation=-0.13725270326150324, pvalue=0.36861859214901105)
([40, 30, 0.35, 1],)::	KendalltauResult(correlation=-0.13725270326150324, pvalue=0.36861859214901105)
([40, 30, 0.39999999999999997, 1],)::	KendalltauResult(correlation=-0.13725270326150324, pvalue=0.36861859214901105)
([40, 30, 0.44999999999999996, 1],)::	KendalltauResult(correlation=-0.13725270326150324, pvalue=0.36861859214901105)
([40, 30, 0.49999999999999994, 1],)::	KendalltauResult(correlation=-0.13725270326150324, pvalue=0.36861859214901105)
([40, 30, 0.5499999999999999, 1],)::	KendalltauResult(correlation=-0.13725270326150324, pvalue=0.36861859214901105)
([40, 30, 0.5999999999999999, 1],)::	KendalltauResult(correlation=-0.13725270326150324, pvalue=0.36861859214901105)
